,city,lat,lon,place_id
0,Mont Saint Michel,48.6359541,-1.511459954959514,263784110.0
1,St Malo,48.649518,-2.0260409,263088376.0
2,Bayeux,49.2764624,-0.7024738,262975271.0
3,Le Havre,49.4938975,0.1079732,89704449.0
4,Rouen,49.4404591,1.0939658,90829492.0
5,Paris,48.8534951,2.3483915,88066702.0
6,Amiens,49.8941708,2.2956951,89811884.0
7,Lille,50.6365654,3.0635282,92956259.0
8,Strasbourg,48.584614,7.7507127,110577079.0
9,Chateau du Haut Koenigsbourg,48.249410749999996,7.344320233724503,110834108.0
10,Colmar,48.0777517,7.3579641,110995390.0
11,Eguisheim,48.0447968,7.3079618,110808217.0
12,Besancon,47.2380222,6.0243622,83816623.0
13,Dijon,47.3215806,5.0414701,85821227.0
14,Annecy,45.8992348,6.1288847,81260421.0
15,Grenoble,45.1875602,5.7357819,81069851.0
16,Lyon,45.7578137,4.8320114,81626583.0
17,Gorges du Verdon,43.7496562,6.3285616,73777570.0
18,Bormes les Mimosas,43.1506968,6.3419285,74688892.0
19,Cassis,43.2140359,5.5396318,75496110.0
20,Marseille,43.2961743,5.3699525,75345615.0
21,Aix en Provence,43.5298424,5.4474738,74605205.0
22,Avignon,43.9492493,4.8059012,75318801.0
23,Uzes,44.0121279,4.4196718,79181408.0
24,Nimes,43.8374249,4.3600687,75374635.0
25,Aigues Mortes,43.5661521,4.19154,74835274.0
26,Saintes Maries de la mer,43.4515922,4.4277202,74989696.0
27,Collioure,42.52505,3.0831554,76480430.0
28,Carcassonne,43.2130358,2.3491069,77322627.0
29,Ariege,42.9455368,1.4065544156065486,75629631.0
30,Toulouse,43.6044622,1.4442469,78122014.0
31,Montauban,44.0175835,1.3549991,78192550.0
32,Biarritz,43.471143749999996,-1.552726590666314,267748936.0
33,Bayonne,43.4945144,-1.4736657,268541444.0
34,La Rochelle,46.159732,-1.1515951,266833066.0
